# Matter power spectrum P(k) at redshift z=1
# for k=1.02819e-05 to 105.289 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028185622909e-05       1.519066944549e+01 
       2.292362608534e-05       3.386761493033e+01 
       3.560828760542e-05       5.260718441620e+01 
       4.836871162854e-05       7.145751805220e+01 
       6.123829341056e-05       9.046749759605e+01 
       7.425123948469e-05       1.096871699414e+02 
       8.744286337900e-05       1.291681646241e+02 
       1.008498939898e-04       1.489641384637e+02 
       1.145108004402e-04       1.691312358420e+02 
       1.284661372837e-04       1.897285802773e+02 
       1.427589139274e-04       2.108187976505e+02 
       1.574349921059e-04       2.324568725823e+02 
       1.725435151069e-04       2.547352092589e+02 
       1.881373721651e-04       2.777208123721e+02 
       2.042737009284e-04       3.014963084341e+02 
       2.210144300569e-04       3.261510635062e+02 
       2.384268627075e-04       3.517819693721e+02 
       2.565842997080e-04       3.784942774209e+02 
       2.755666984252e-04       4.064024607730e+02 
       2.954613594086e-04       4.356310967610e+02 
       3.163636275512e-04       4.663157389221e+02 
       3.383775873987e-04       4.986037470606e+02 
       3.616167230514e-04       5.326550221051e+02 
       3.862045015520e-04       5.686425792530e+02 
       4.122748246813e-04       6.067528698952e+02 
       4.399722779238e-04       6.471857397851e+02 
       4.694520878688e-04       6.901538874208e+02 
       5.008796821419e-04       7.358816615937e+02 
       5.344297319924e-04       7.846030252697e+02 
       5.702845511269e-04       8.365585087538e+02 
       6.086317309585e-04       8.919909912520e+02 
       6.496609187059e-04       9.511402158287e+02 
       6.935596970390e-04       1.014236011530e+03 
       7.405086061108e-04       1.081490363897e+03 
       7.906754593871e-04       1.153088615182e+03 
       8.442092339807e-04       1.229180295181e+03 
       9.012339445199e-04       1.309870250008e+03 
       9.618430087101e-04       1.395210867864e+03 
       1.026094651636e-03       1.485196189277e+03 
       1.094008850266e-03       1.579758643830e+03 
       1.165566182719e-03       1.678768821107e+03 
       1.240708735874e-03       1.782037625191e+03 
       1.319342979432e-03       1.889308170873e+03 
       1.401344285732e-03       2.000309489755e+03 
       1.486562608957e-03       2.114720873598e+03 
       1.574828762325e-03       2.232197599035e+03 
       1.665960749640e-03       2.352381549205e+03 
       1.759769698314e-03       2.474910905631e+03 
       1.856065072773e-03       2.599428579660e+03 
       1.954658987774e-03       2.725588926393e+03 
       2.055369565667e-03       2.853062747361e+03 
       2.158023376380e-03       2.981540922678e+03 
       2.262457060233e-03       3.110735889644e+03 
       2.368518264944e-03       3.240383742673e+03 
       2.476066036375e-03       3.370242015396e+03 
       2.584970795220e-03       3.500092850597e+03 
       2.695114015810e-03       3.629738735929e+03 
       2.806387703506e-03       3.759002690107e+03 
